function_id,name_for_btxt,n_inputs,t,literal_count,status,runtime_ms,cg,n_transistors,n_transistors_pdn,n_transistors_pun,sat_result,work_dir,stdout_log,stderr_log
3_1,F3_001,3,3,3,SAT,417,"CG(nc=4, r=3, tr=[(0, 1, 3), (2, 3, 4), (1, 2, 5)])",9,3,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_1/t_3,dataset/sweep_3input/3_1/t_3/run_t3.out.log,dataset/sweep_3input/3_1/t_3/run_t3.err.log
3_2,F3_002,3,3,3,SAT,358,"CG(nc=4, r=3, tr=[(0, 1, 0), (2, 3, 4), (1, 2, 5)])",7,3,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_2/t_3,dataset/sweep_3input/3_2/t_3/run_t3.out.log,dataset/sweep_3input/3_2/t_3/run_t3.err.log
3_3,F3_003,3,2,2,SAT,214,"CG(nc=3, r=2, tr=[(1, 2, 2), (0, 1, 3)])",6,2,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_3/t_2,dataset/sweep_3input/3_3/t_2/run_t2.out.log,dataset/sweep_3input/3_3/t_2/run_t2.err.log
3_4,F3_004,3,3,3,SAT,251,"CG(nc=4, r=3, tr=[(1, 2, 1), (2, 3, 3), (0, 1, 5)])",7,3,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_4/t_3,dataset/sweep_3input/3_4/t_3/run_t3.out.log,dataset/sweep_3input/3_4/t_3/run_t3.err.log
3_5,F3_005,3,2,2,SAT,220,"CG(nc=3, r=2, tr=[(1, 2, 2), (0, 1, 3)])",6,2,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_5/t_2,dataset/sweep_3input/3_5/t_2/run_t2.out.log,dataset/sweep_3input/3_5/t_2/run_t2.err.log
3_6,F3_006,3,5,6,SAT,274,"CG(nc=4, r=5, tr=[(0, 1, 0), (0, 1, 1), (2, 3, 3), (2, 3, 4), (1, 2, 5)])",11,5,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_6/t_5,dataset/sweep_3input/3_6/t_5/run_t5.out.log,dataset/sweep_3input/3_6/t_5/run_t5.err.log
3_6,F3_006,3,6,6,SAT,292,"CG(nc=5, r=6, tr=[(0, 1, 0), (0, 1, 1), (2, 4, 3), (2, 4, 4), (1, 2, 5), (0, 3, 0)])",12,6,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_6/t_6,dataset/sweep_3input/3_6/t_6/run_t6.out.log,dataset/sweep_3input/3_6/t_6/run_t6.err.log
3_7,F3_007,3,3,4,SAT,253,"CG(nc=3, r=3, tr=[(1, 2, 3), (1, 2, 4), (0, 1, 5)])",9,3,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_7/t_3,dataset/sweep_3input/3_7/t_3/run_t3.out.log,dataset/sweep_3input/3_7/t_3/run_t3.err.log
3_7,F3_007,3,4,4,SAT,227,"CG(nc=4, r=4, tr=[(1, 3, 3), (1, 3, 4), (0, 1, 5), (1, 2, 3)])",10,4,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_7/t_4,dataset/sweep_3input/3_7/t_4/run_t4.out.log,dataset/sweep_3input/3_7/t_4/run_t4.err.log
3_8,F3_008,3,3,3,SAT,220,"CG(nc=4, r=3, tr=[(0, 1, 0), (2, 3, 1), (1, 2, 5)])",5,3,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_8/t_3,dataset/sweep_3input/3_8/t_3/run_t3.out.log,dataset/sweep_3input/3_8/t_3/run_t3.err.log
3_9,F3_009,3,5,6,SAT,273,"CG(nc=4, r=5, tr=[(0, 1, 0), (2, 3, 1), (2, 3, 3), (0, 1, 4), (1, 2, 5)])",11,5,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_9/t_5,dataset/sweep_3input/3_9/t_5/run_t5.out.log,dataset/sweep_3input/3_9/t_5/run_t5.err.log
3_9,F3_009,3,6,6,SAT,298,"CG(nc=5, r=6, tr=[(2, 4, 0), (2, 3, 1), (0, 1, 3), (3, 4, 4), (1, 3, 5), (0, 1, 1)])",12,6,0,SAT,/Users/fch/Python/MiniTNtk-Extension/dataset/sweep_3input/3_9/t_6,dataset/sweep_3input/3_9/t_6/run_t6.out.log,dataset/sweep_3input/3_9/t_6/run_t6.err.log
